Concept,Taxonomy,Value,Filing Date,End Date,Unit,Fiscal Period,Form Type,Accession Number
EntityCommonStockSharesOutstanding,dei,8879121378,2009-10-23,2009-10-19,shares,Q1,10-Q,0001193125-09-212454
EntityCommonStockSharesOutstanding,dei,8770460922,2010-01-28,2010-01-25,shares,Q2,10-Q,0001193125-10-015598
EntityCommonStockSharesOutstanding,dei,8763839329,2010-04-22,2010-04-19,shares,Q3,10-Q,0001193125-10-090116
EntityCommonStockSharesOutstanding,dei,8653567331,2010-07-30,2010-07-20,shares,FY,10-K,0001193125-10-171791
EntityCommonStockSharesOutstanding,dei,8555523242,2010-10-28,2010-10-22,shares,Q1,10-Q,0001193125-10-239825
EntityCommonStockSharesOutstanding,dei,8402382031,2011-01-27,2011-01-21,shares,Q2,10-Q,0001193125-11-015947
EntityCommonStockSharesOutstanding,dei,8432767307,2011-04-28,2011-04-21,shares,Q3,10-Q,0001193125-11-115186
EntityCommonStockSharesOutstanding,dei,8378265782,2011-07-28,2011-07-20,shares,FY,10-K,0001193125-11-200680
EntityCommonStockSharesOutstanding,dei,8412182277,2011-10-20,2011-10-17,shares,Q1,10-Q,0001193125-11-276022
EntityCommonStockSharesOutstanding,dei,8390771388,2012-01-27,2012-01-17,shares,Q2,10-Q/A,0001193125-12-026864
EntityCommonStockSharesOutstanding,dei,8400866103,2012-04-19,2012-04-17,shares,Q3,10-Q,0001193125-12-170665
EntityCommonStockSharesOutstanding,dei,8383396575,2012-07-26,2012-07-18,shares,FY,10-K,0001193125-12-316848
EntityCommonStockSharesOutstanding,dei,8416462491,2012-10-18,2012-10-15,shares,Q1,10-Q,0001193125-12-427209
EntityCommonStockSharesOutstanding,dei,8376244910,2013-01-24,2013-01-18,shares,Q2,10-Q,0001193125-13-022207
EntityCommonStockSharesOutstanding,dei,8351106590,2013-04-18,2013-04-11,shares,Q3,10-Q,0001193125-13-160748
EntityCommonStockSharesOutstanding,dei,8329956402,2013-07-30,2013-07-18,shares,FY,10-K,0001193125-13-310206
EntityCommonStockSharesOutstanding,dei,8347968348,2013-10-24,2013-10-16,shares,Q1,10-Q,0001193125-13-409855
EntityCommonStockSharesOutstanding,dei,8300723725,2014-01-23,2014-01-17,shares,Q2,10-Q,0001193125-14-018634
EntityCommonStockSharesOutstanding,dei,8260411967,2014-04-24,2014-04-17,shares,Q3,10-Q,0001193125-14-157088
EntityCommonStockSharesOutstanding,dei,8239848789,2014-07-31,2014-07-22,shares,FY,10-K,0001193125-14-289961
EntityCommonStockSharesOutstanding,dei,8242852827,2014-10-23,2014-10-16,shares,Q1,10-Q,0001193125-14-380252
EntityCommonStockSharesOutstanding,dei,8203785341,2015-01-26,2015-01-22,shares,Q2,10-Q,0001193125-15-020351
EntityCommonStockSharesOutstanding,dei,8089575277,2015-04-23,2015-04-16,shares,Q3,10-Q,0001193125-15-144151
EntityCommonStockSharesOutstanding,dei,7997980969,2015-07-31,2015-07-27,shares,FY,10-K,0001193125-15-272806
EntityCommonStockSharesOutstanding,dei,7987913152,2015-10-22,2015-10-15,shares,Q1,10-Q,0001193125-15-350718
EntityCommonStockSharesOutstanding,dei,7909302774,2016-01-28,2016-01-22,shares,Q2,10-Q,0001193125-16-441821
EntityCommonStockSharesOutstanding,dei,7860466856,2016-04-21,2016-04-15,shares,Q3,10-Q,0001193125-16-550254
EntityCommonStockSharesOutstanding,dei,7792515573,2016-07-28,2016-07-25,shares,FY,10-K,0001193125-16-662209
EntityCommonStockSharesOutstanding,dei,7775350501,2016-10-20,2016-10-14,shares,Q1,10-Q,0001193125-16-742796
EntityCommonStockSharesOutstanding,dei,7727529820,2017-01-26,2017-01-20,shares,Q2,10-Q,0001564590-17-000654
EntityCommonStockSharesOutstanding,dei,7720514731,2017-04-27,2017-04-21,shares,Q3,10-Q,0001564590-17-007547
EntityCommonStockSharesOutstanding,dei,7702243979,2017-08-02,2017-07-31,shares,FY,10-K,0001564590-17-014900
EntityCommonStockSharesOutstanding,dei,7714590195,2017-10-26,2017-10-20,shares,Q1,10-Q,0001564590-17-020171
EntityCommonStockSharesOutstanding,dei,7699792852,2018-01-31,2018-01-26,shares,Q2,10-Q,0001564590-18-001129
